,GK,DEF,MID,FWD
assists,0.0,0.0,0.0,-0.007258705072276214
bonus,-0.0009841328500893095,0.0,-0.0,0.007415542651775612
bps,0.20166609802068433,0.151605809159531,0.0,0.006985199372666904
clean_sheets,0.08782134316327327,0.0,0.0496805975026301,0.0
goals_conceded,0.0,0.0,0.0,0.0
goals_scored,-0.0,0.0,0.0,0.05350681576835039
influence,0.0,0.0,0.0,0.0
creativity,0.0,0.11012848790529901,0.12583892049215414,0.07586081198866698
threat,-0.0,0.0,0.24945256966020785,0.04469688283913411
ict_index,0.0,0.09050279303936462,0.07865642091339034,0.05180955044294709
minutes,0.8353748661104461,0.5013854557745036,0.4887719420764015,0.6819512937425309
ewma_total_points,0.0,0.1576945888543711,0.20627842621861314,0.31585643292191184
ewma_team_goals,0.010057068575566569,0.010818826064417392,-0.0,0.0
ewma_team_points,0.04637141161231648,0.05794659007896621,0.0,0.011764952362339706
ewma_team_goals_nw_opponent,0.0,-0.0,0.0,-0.0
ewma_team_points_nw_opponent,0.0,-0.0,-0.0,-0.014829415315908168
expected_goals,-0.0,0.0,0.0,0.0019006759862315625
expected_assists,0.0,0.012941757874160983,0.058646544871769055,0.09504735454214779
expected_goal_involvements,0.0,0.0,0.07287287007408683,0.0
expected_goals_conceded,-0.0,-0.0,0.0,0.0539883452404839
yellow_cards,0.0,0.003960790736813739,0.0,0.04509624185182559
saves,0.008314651709654508,0.0,0.0,-0.0
