team,gw,opponent_team,avg_points_conceded_GK_opponent,avg_points_conceded_DEF_opponent,avg_points_conceded_MID_opponent,avg_points_conceded_FWD_opponent,avg_points_scored_GK,avg_points_scored_DEF,avg_points_scored_MID,avg_points_scored_FWD,avg_points_conceded_GK_opponent_multiplier,avg_points_conceded_DEF_opponent_multiplier,avg_points_conceded_MID_opponent_multiplier,avg_points_conceded_FWD_opponent_multiplier,avg_points_scored_GK_multiplier,avg_points_scored_DEF_multiplier,avg_points_scored_MID_multiplier,avg_points_scored_FWD_multiplier,fixture_diff_GK_multiplier,fixture_diff_DEF_multiplier,fixture_diff_MID_multiplier,fixture_diff_FWD_multiplier
Liverpool,2,Arsenal,1.0,1.5418130804562042,2.3870929925852113,2.81123595505618,1.0,1.4232039636663913,6.3669347990551035,12.098413264396505,0.26666666666666666,0.3994432135666229,0.5384048472206224,0.5578595317725753,0.25,0.3291614300802045,1.5744928824696793,2.8298522484396553,0.06666666666666667,0.13148129941342213,0.8477145998360451,1.5786600503001156
Crystal Palace,2,Aston Villa,7.0,8.308510638297872,4.843927022697972,46.0,4.0,4.7,3.519553072625698,2.0168539325842696,1.8666666666666667,2.1525165607832224,1.092539669256496,9.12820512820513,1.0,1.0870253040832607,0.870357783960007,0.4717477003942181,1.8666666666666667,2.339839969029637,0.9509004054224828,4.306209777957479
Spurs,2,Bournemouth,2.0,1.4946325350949627,4.229697180388116,8.140662154746662,9.0,6.116343490304709,6.544332559256887,9.52808988764045,0.5333333333333333,0.38721997529227653,0.9540011517230698,1.6154268266944325,2.25,1.4146000303034358,1.6183619528495459,2.228646517739816,1.2,0.5477613887825501,1.543919166923263,3.6002153719760277
Sunderland,2,Brentford,2.0,2.205,3.762769933554817,8.078651685393258,4.5,5.139275766016713,3.6386727688787186,8.391215526046986,0.5333333333333333,0.5712575000685514,0.8486864891710393,1.6031215161649943,1.125,1.1886218728344786,0.899815147641533,1.9627284673276786,0.6,0.6790091596022239,0.7636609585548131,3.1464922363625436
Man City,2,Brighton,9.0,4.669452181987001,4.766096798695073,5.561797752808989,4.5,4.63197654916945,4.375171593300998,9.125,2.4,1.2097322359054588,1.0749851919095343,1.1036789297658864,1.125,1.0712927057164796,1.0819455123457953,2.1343626806833114,2.6999999999999997,1.2959773201956055,1.1630754042247042,2.3556511191488054
Man Utd,2,Burnley,5.0,3.8774373259052926,4.769166042421319,8.818181818181818,2.0,3.6891921637684346,2.250467872738615,3.016216216216216,1.3333333333333333,1.0045420197138986,1.0756774547181662,1.7498733150907066,0.5,0.853243666732333,0.5565229988501667,0.7055012963028731,0.6666666666666666,0.8571191162873903,0.5986392428952683,1.2345378921622994
Fulham,2,Chelsea,3.0,4.035294117647059,3.7769353551476454,1.5,3.0,2.381615598885794,3.820334971236817,5.056179775280898,0.8,1.0454385622169566,0.8518814764095728,0.2976588628762542,0.75,0.5508247703379292,0.9447387810151685,1.1826544021024965,0.6000000000000001,0.57585345593557,0.8048054675925819,0.3520275645054254
Aston Villa,2,Crystal Palace,5.0,4.385097493036212,4.347189695550352,3.1835205992509366,4.5,4.16955223880597,2.854948982234423,2.0,1.3333333333333333,1.1360634156139402,0.9805013927576604,0.6317354143441101,1.125,0.9643422958040638,0.7060064213331125,0.46780551905387646,1.5,1.0955540023921535,0.6922402794129684,0.29552931341196215
Wolves,2,Everton,3.5,4.08457249070632,3.6653611258629843,3.539325842696629,1.5,1.015625,2.533078756627913,2.27994227994228,0.9333333333333333,1.0582052924669698,0.8267160948939123,0.7023411371237459,0.375,0.234895760523311,0.6264104469292958,0.5332847908406384,0.35,0.2485679369638216,0.5178635984861377,0.374547846409813
Chelsea,2,Fulham,2.0,3.2005623242736645,3.618598382749326,3.359073359073359,5.5,6.030055476229489,5.328073089700997,6.583079098147183,0.5333333333333333,0.8291815111919119,0.8161688360984098,0.666571970919797,1.375,1.3946431675930406,1.317590555231921,1.5398003672407339,0.7333333333333333,1.1564123292782722,1.0753763499178945,1.0263877656146831
Newcastle,2,Leeds,4.0,7.743947858472998,3.5280144785461127,7.4361702127659575,6.5,5.256983240223464,2.9046787709497206,61.07142857142857,1.0666666666666667,2.0062531946904745,0.7957377874318223,1.475627979790792,1.625,1.215845490481812,0.7183042068217558,14.284775671109442,1.7333333333333334,2.439293899529142,0.571581800239314,21.079014665323882
Arsenal,2,Liverpool,3.0,1.7569832402234637,4.727678571428571,17.06043956043956,8.0,10.684357541899441,4.7265999520613615,7.01123595505618,0.8,0.4551881421643532,1.066320024760136,3.385460693153001,2.0,2.4710993629611746,1.16885098052309,1.6399474375821288,1.6,1.1248151281298138,1.2463692064922907,5.5519775887712814
Brighton,2,Man City,4.5,3.417682776018995,4.71219994145199,3.6392009987515603,1.5,1.2624075422527115,3.8018166514694536,2.142857142857143,1.2,0.8854317091410239,1.0628288455586505,0.7221602873776787,0.375,0.2919721154243097,0.9401593462338765,0.5012201989862962,0.44999999999999996,0.2585213691816668,0.9992284725989267,0.36196132293944094
Burnley,2,Man Utd,6.5,5.652573100325236,4.520089285714286,1.5168539325842696,4.0,3.953841011304242,5.914360155571498,3.033707865168539,1.7333333333333334,1.4644330060074988,1.0194986072423398,0.3010033444816054,1.0,0.9144521760872044,1.4625747338721877,0.7095926412614979,1.7333333333333334,1.3391539490774833,1.4910929041705312,0.21358975823924686
Leeds,2,Newcastle,4.0,3.7324093816631128,4.775741911093943,6.1265822784810124,3.0,3.8753481894150417,3.6187679769894534,4.550561797752809,1.0666666666666667,0.9669690941502391,1.0771606309408877,1.2157543428869793,0.75,0.8962982008568935,0.8948928492128858,1.0643889618922469,0.8,0.8666926593710794,0.9639433460826408,1.2940355029414625
West Ham,2,Nott'm Forest,1.5,1.9323185011709603,3.424948544545722,4.51685393258427,0.5,1.0434573829531812,3.543635352973874,2.130653266331658,0.4,0.5006128962880421,0.7724914377414257,0.8963210702341138,0.125,0.24133288914949047,0.8763131424171832,0.4983656785900593,0.05,0.12081435660668742,0.6769443992975566,0.4466956584017923
Bournemouth,2,Spurs,2.0,1.1463714320636615,2.79887351374746,2.5168539325842696,4.0,4.477900552486188,6.145515650080256,2.5058649215952586,0.5333333333333333,0.29699468409555213,0.6312812576803103,0.49944258639910816,1.0,1.035657704195936,1.5197376689947228,0.5861287201628856,0.5333333333333333,0.3075848326887968,0.9593819070271318,0.2927376439609507
Brentford,2,Sunderland,3.5,3.842373791621912,5.626130322792788,2.647507198915928,3.0,4.940829139468833,4.791221935958778,4.0,0.9333333333333333,0.9954579802861017,1.2689643203242036,0.5253693215240081,0.75,1.1427247442030943,1.1848314887124707,0.9356110381077529,0.7,1.1375344658873645,1.5035088847727347,0.491541336301043
Nott'm Forest,2,West Ham,5.5,6.656796423304698,6.02093023255814,11.639258873428082,2.0,1.875,5.351653981264636,8.745318352059925,1.4666666666666666,1.7246008540781477,1.3580107821755811,2.309685707324636,0.5,0.43365371173534334,1.3234219241874738,2.0455540954883924,0.7333333333333333,0.747879561632932,1.797221242414144,4.724587057908914
Everton,2,Wolves,6.5,7.9831361545804285,5.995643201100664,9.641853932584269,8.5,5.0,4.2672656396572926,2.4474061678221375,1.7333333333333334,2.0682205906451174,1.3523073343623562,1.9133221850613156,2.125,1.1564098979609156,1.0552612189848312,0.5724550563368468,3.6833333333333336,2.391710762188585,1.4270374861013477,1.0952909592398141
