full_name,gw,total_points,position,team,opponent_team,xP,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,threat,ewma_total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,opponent_team_name,ewma_team_goals,ewma_team_points,team_name_nw_opponent,team_nw_opponent,ewma_team_goals_nw_opponent,ewma_team_points_nw_opponent,predicted_points,owner
aaron_anselmino,7,0,DEF,Chelsea,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1230.0,92.8,1322.8,40.0,0.0,Liverpool,1.6,1.4,Nott'm Forest,Nott'm Forest,0.2,0.2,0.25606020295573206,
aaron_hickey,7,2,DEF,Brentford,13,0.6,0.0,0.0,2.0,0.0,0.7,0.014000000000000002,0.018,0.004,0.40199999999999997,0.6,0.0,0.22000000000000003,1.24,34.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.0,-1394.6,2168.8,3563.4,40.0,0.0,Man City,1.4,0.8,West Ham,West Ham,1.0,0.8,0.9759737446908747,
aaron_ramsdale,7,0,GK,Newcastle,16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5246.6,1704.6,6951.2,49.2,0.0,Nott'm Forest,0.8,1.6,Brighton,Brighton,1.8,1.6,0.21710163006851058,
aaron_ramsey,7,0,MID,Burnley,2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123606.6,5563.0,129169.6,44.2,0.0,Aston Villa,1.0,0.2,Leeds,Leeds,1.2,1.0,0.3978562756846753,
aaron_wan_bissaka,7,1,DEF,West Ham,1,0.0,0.0,0.0,-0.6,0.0,0.27999999999999997,0.002,0.002,0.0,0.52,0.4,0.0,0.22000000000000003,1.44,15.6,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,-303251.0,6530.8,309781.8,43.4,0.0,Arsenal,1.0,0.8,Brentford,Brentford,1.4,0.8,0.509682843305094,
abdallah_sima,7,0,MID,Brighton,20,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-266.2,24.2,290.4,54.0,0.0,Wolves,1.8,1.6,Newcastle,Newcastle,0.8,1.6,0.3978562756846753,
abdoullah_ba,7,0,MID,Sunderland,14,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1066.4,2014.0,3080.4,44.2,0.0,Man Utd,0.8,1.6,Wolves,Wolves,1.0,0.4,0.3978562756846753,
abdukodir_khusanov,7,0,DEF,Man City,5,1.5999999999999999,0.0,0.0,7.8,0.2,1.04,0.004,0.004,0.0,0.61,0.2,0.0,0.8799999999999999,7.76,43.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.0,-2555.8,4294.4,6850.2,54.0,0.2,Brentford,2.2,2.0,Everton,Everton,1.4,1.6,1.3556754269674298,
adam_aznou,7,0,DEF,Everton,8,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1238.4,156.8,1395.2,44.0,0.0,Crystal Palace,1.4,1.6,Man City,Man City,2.2,2.0,0.25576092983512827,
adam_smith,7,0,DEF,Bournemouth,10,0.54,0.0,0.0,0.4,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,-4605.4,573.6,5179.0,44.6,0.0,Fulham,1.6,2.2,Crystal Palace,Crystal Palace,1.6,2.0,0.37508659025966584,
adam_webster,7,0,DEF,Brighton,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,43.8,121.8,44.0,0.0,Wolves,1.8,1.6,Newcastle,Newcastle,0.8,1.6,0.2605429077233023,
adam_wharton,7,3,MID,Crystal Palace,9,1.94,0.2,0.4,14.8,0.2,25.2,0.24,0.262,0.022,0.866,0.6,0.0,3.46,7.8,56.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,2.8,-3645.6,4539.2,8184.8,50.0,0.2,Everton,1.6,2.0,Bournemouth,Bournemouth,1.6,2.2,2.336379035506196,
adama_traore_diarra,7,1,MID,Fulham,4,0.82,0.0,0.0,3.4,0.0,9.899999999999999,0.1,0.10799999999999998,0.008,0.34400000000000003,0.8,0.0,1.58,2.8,23.8,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.0,-2391.2,776.0,3167.2,53.4,0.0,Bournemouth,1.2,1.2,Arsenal,Arsenal,1.6,2.0,1.325377082541864,
adrian_mazilu,7,0,MID,Brighton,20,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316.6,228.8,545.4,45.0,0.0,Wolves,1.8,1.6,Newcastle,Newcastle,0.8,1.6,0.3978562756846753,
adrien_truffert,7,5,DEF,Bournemouth,10,4.96,0.2,0.8,18.8,0.4,15.839999999999998,0.054000000000000006,0.062,0.008,0.734,0.8,0.0,3.9200000000000004,21.68,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,5.2,22936.8,38015.2,15078.4,45.0,0.0,Fulham,1.6,2.2,Crystal Palace,Crystal Palace,1.6,2.0,2.9036307473841423,93330.0
ahmed_abdullahi,7,0,FWD,Sunderland,14,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3616.0,2930.2,6546.2,44.2,0.0,Man Utd,0.8,1.6,Wolves,Wolves,1.0,0.4,0.39069895705755975,
