full_name,position,team,ewma_total_points,predicted_points,owner
aaron_anselmino,DEF,Chelsea,0.0,0.25606020295573206,
aaron_hickey,DEF,Brentford,1.0,0.9759737446908747,
aaron_ramsdale,GK,Newcastle,0.0,0.21710163006851058,
aaron_ramsey,MID,Burnley,0.0,0.3978562756846753,
aaron_wan_bissaka,DEF,West Ham,0.2,0.509682843305094,
abdallah_sima,MID,Brighton,0.0,0.3978562756846753,
abdoullah_ba,MID,Sunderland,0.0,0.3978562756846753,
abdukodir_khusanov,DEF,Man City,2.0,1.3556754269674298,
adam_aznou,DEF,Everton,0.0,0.25576092983512827,
adam_smith,DEF,Bournemouth,0.2,0.37508659025966584,
adam_webster,DEF,Brighton,0.0,0.2605429077233023,
adam_wharton,MID,Crystal Palace,2.8,2.336379035506196,
adama_traore_diarra,MID,Fulham,1.0,1.325377082541864,
adrian_mazilu,MID,Brighton,0.0,0.3978562756846753,
adrien_truffert,DEF,Bournemouth,5.2,2.9036307473841423,93330.0
ahmed_abdullahi,FWD,Sunderland,0.0,0.39069895705755975,
aji_alese,DEF,Sunderland,0.0,0.24858796300286717,
alan_browne,MID,Sunderland,0.0,0.3978562756846753,
albert_sambi_lokonga,MID,Arsenal,0.0,0.3978562756846753,
alejandro_garnacho_ferreyra,MID,Chelsea,0.6,0.9814226912808309,
alex_cairns,GK,Leeds,0.0,0.22388633953085085,
alex_iwobi,MID,Fulham,4.2,2.8951574130108035,
alex_jimenez_sanchez,DEF,Bournemouth,0.25,1.1957598416607866,
alex_moreno_lopera,DEF,Aston Villa,0.0,0.25336994089104126,
alex_murphy,DEF,Newcastle,0.0,0.24858796300286717,
alex_paulsen,GK,Bournemouth,0.0,0.23067104899319113,
alex_scott,MID,Bournemouth,4.0,2.3631987873952447,
alexander_isak,FWD,Liverpool,1.6,1.785244176228019,88376.0
alexis_mac_allister,MID,Liverpool,2.0,2.0685426592199043,
alfie_pond,DEF,Wolves,0.0,0.23842865700605487,
alisson_becker,GK,Liverpool,3.6,2.834858929023604,94654.0
alphonse_areola,GK,West Ham,1.2,1.7757447726966988,
altay_bayindir,GK,Man Utd,1.4,2.296076588902524,
amad_diallo,MID,Man Utd,2.4,3.1447226118662224,
amadou_onana,MID,Aston Villa,0.2,0.42981491866791877,
amara_nallo,DEF,Liverpool,0.0,0.2554616567145245,
amine_adli,MID,Bournemouth,0.8,1.3225830482530396,
andre_harriman_annous,MID,Arsenal,0.0,0.3978562756846753,
andre_onana,GK,Man Utd,0.0,0.23067104899319113,
andre_trindade_da_costa_neto,MID,Wolves,2.4,1.8477742764081673,
andreas_hoelgebaum_pereira,MID,Fulham,0.0,0.3978562756846753,
andres_garcia,DEF,Aston Villa,0.0,0.25336994089104126,
andrew_moran,MID,Brighton,0.0,0.3978562756846753,
andrew_robertson,DEF,Liverpool,0.4,1.3650921063307582,
andrey_nascimento_dos_santos,MID,Chelsea,0.6,1.1205112211768022,
andy_irving,MID,West Ham,0.6,0.5323564094797012,
angus_gunn,GK,Nott'm Forest,0.0,0.20692456587500016,
anthony_elanga,MID,Newcastle,1.4,1.4592346247767216,85646.0
anthony_gordon,MID,Newcastle,1.2,1.2061936726461475,94654.0
anthony_patterson,GK,Sunderland,0.0,0.21710163006851058,
antoine_semenyo,MID,Bournemouth,9.0,4.612797495598149,87737.0
anton_stach,MID,Leeds,4.6,3.169787105275536,
antonee_robinson,DEF,Fulham,0.4,0.46274063751824807,
antoni_milambo,MID,Brentford,0.0,0.3978562756846753,
antonin_kinsky,GK,Spurs,0.0,0.23067104899319113,
antonito_cordero_campillo,MID,Newcastle,0.0,0.3978562756846753,
antony_dos_santos,MID,Man Utd,0.0,0.3978562756846753,
archie_gray,MID,Spurs,0.2,0.4745161080817638,
armando_broja,FWD,Burnley,0.6,0.6470299345236392,
armin_pecsi,GK,Liverpool,0.0,0.22388633953085085,
arnaud_kalimuendo,FWD,Nott'm Forest,0.8,0.8043952377782628,
arthur_masuaku,DEF,Sunderland,0.2,0.8382399755422723,
asher_agbinone,MID,Crystal Palace,0.0,0.3978562756846753,
ashley_barnes,FWD,Burnley,0.0,0.3237223599615255,
ashley_phillips,DEF,Spurs,0.0,0.2581519187792153,
axel_tuanzebe,DEF,Burnley,0.2,0.581899374834654,
ayden_heaven,DEF,Man Utd,0.0,0.2602436346026985,
bafode_diakite,DEF,Bournemouth,3.2,2.1983686214791396,94654.0
bart_verbruggen,GK,Brighton,1.6,3.110324080564891,
bashir_humphreys,DEF,Burnley,0.0,0.19732205694511962,
bastien_meupiyou_menadjou,DEF,Wolves,0.0,0.23842865700605487,
ben_broggio,MID,Aston Villa,0.0,0.3978562756846753,
ben_davies,DEF,Spurs,0.0,0.2581519187792153,
ben_gannon_doak,MID,Bournemouth,1.0,0.7515413167690213,
ben_winterburn,MID,Bournemouth,0.0,0.3978562756846753,
benjamin_arthur,DEF,Brentford,0.0,0.24739406654119536,
benjamin_fredrick,DEF,Brentford,0.0,0.24739406654119536,
benjamin_lecomte,GK,Fulham,0.0,0.22388633953085085,
benjamin_sesko,FWD,Man Utd,4.2,3.191093879263855,
benjamin_white,DEF,Arsenal,0.0,0.2623353504261817,
benoit_badiashile_mukinayi,DEF,Chelsea,0.0,0.48918840724363355,
bernardo_mota_veiga_de_carvalho_e_silva,MID,Man City,2.2,1.9033444632302106,
bernd_leno,GK,Fulham,2.8,3.0452622993052114,
bertrand_traore,MID,Sunderland,0.25,1.437405015314437,
blondy_nna_noukeu,GK,Sunderland,0.0,0.21710163006851058,
borna_sosa,DEF,Crystal Palace,0.0,0.2623353504261817,
boubacar_kamara,MID,Aston Villa,2.4,1.5612255234035672,
boubacar_traore,MID,Wolves,0.0,0.3978562756846753,
bradley_burrowes,MID,Aston Villa,0.2,0.4797645607736813,
brajan_gruda,MID,Brighton,3.4,2.5577148380198205,
brandon_austin,GK,Spurs,0.0,0.23067104899319113,
brayden_clarke,DEF,Arsenal,0.0,0.2623353504261817,
brenden_aaronson,MID,Leeds,3.4,2.942842177038771,
brennan_johnson,MID,Spurs,1.0,0.9756184313499776,
brian_brobbey,FWD,Sunderland,0.75,0.9192241901105814,
bruno_borges_fernandes,MID,Man Utd,4.8,4.237264028591832,87737.0
bruno_guimaraes_rodriguez_moura,MID,Newcastle,4.2,2.7099724960307556,
bryan_gil_salvatierra,MID,Spurs,0.0,0.3978562756846753,
bryan_mbeumo,MID,Man Utd,4.6,4.540997933638972,93330.0
bukayo_saka,MID,Arsenal,2.2,2.3124218267588157,87737.0
caleb_kporha,DEF,Crystal Palace,0.0,0.2623353504261817,
callan_mckenna,GK,Bournemouth,0.0,0.23067104899319113,
callum_bates,MID,Everton,0.0,0.3978562756846753,
callum_hudson_odoi,MID,Nott'm Forest,1.2,2.288954322271599,
callum_marshall,FWD,West Ham,0.2,0.5235891373881281,
callum_olusesi,MID,Spurs,0.0,0.3978562756846753,
callum_wilson,FWD,West Ham,1.8,1.2547591563920104,
calvin_bassey,DEF,Fulham,3.0,2.2672743480791286,
calvin_ramsay,DEF,Liverpool,0.0,0.2554616567145245,
caoimhin_kelleher,GK,Brentford,3.0,3.094068848988378,85646.0
carl_rushworth,GK,Brighton,0.0,0.2340634037243613,
carlos_alcaraz_duran,MID,Everton,0.6,0.914254396880281,
carlos_baleba,MID,Brighton,0.8,1.3277738107199601,
carlos_henrique_casimiro,MID,Man Utd,2.6,2.020218274640224,
carlos_miguel_dos_santos_pereira,GK,Nott'm Forest,0.0,0.20692456587500016,
chadi_riad_dnanou,DEF,Crystal Palace,0.0,0.2623353504261817,
charalampos_kostoulas,FWD,Brighton,0.0,0.39069895705755975,
charlie_crew,MID,Leeds,0.0,0.3978562756846753,
charlie_tasker,DEF,Brighton,0.0,0.2605429077233023,
cheick_doucoure,MID,Crystal Palace,0.0,0.3978562756846753,
chemsdine_talbi,MID,Sunderland,2.4,2.6555724243227363,
chido_obi,FWD,Man Utd,0.0,0.4002670423569932,
chris_mepham,DEF,Bournemouth,0.0,0.26442706624966494,
chris_richards,DEF,Crystal Palace,5.0,2.832355294641795,88376.0
chris_rigg,MID,Sunderland,0.6,0.9026823626647097,
chris_wood,FWD,Nott'm Forest,1.8,2.894116495823133,85076.0
christantus_uche,FWD,Crystal Palace,0.5,0.5412681610381624,
christian_norgaard,MID,Arsenal,0.0,0.3978562756846753,
christopher_nkunku,MID,Chelsea,0.0,0.3978562756846753,
claudio_echeverri,MID,Man City,0.0,0.3978562756846753,
coby_ebere,MID,Everton,0.0,0.3978562756846753,
cody_gakpo,MID,Liverpool,3.2,3.8693885787145605,85076.0
cole_palmer,MID,Chelsea,1.6,1.1765671302738612,94654.0
connor_roberts,DEF,Burnley,0.0,0.23633694118257165,
conor_bradley,DEF,Liverpool,0.6,1.3894806979413838,
cristhian_mosquera,DEF,Arsenal,2.2,1.4588033237579394,
cristian_romero,DEF,Spurs,3.8,2.918263093561926,85076.0
crysencio_summerville,MID,West Ham,2.8,2.450490863638236,
curtis_jones,MID,Liverpool,1.4,1.1580657865037005,
daichi_kamada,MID,Crystal Palace,4.0,3.063557669072692,
dan_burn,DEF,Newcastle,6.4,2.9009583569279354,85646.0
dan_ndoye,MID,Nott'm Forest,1.6,2.388300926890456,
dan_neil,MID,Sunderland,0.2,0.4279585772538237,
dane_scarlett,FWD,Spurs,0.0,0.39069895705755975,
dango_ouattara,MID,Brentford,1.2,1.9965044003130665,
daniel_adu_adjei,FWD,Bournemouth,0.0,0.41940321295586014,
daniel_ballard,DEF,Sunderland,1.0,0.8815987616558668,
daniel_bentley,GK,Wolves,0.0,0.22049398479968071,
daniel_james,MID,Leeds,0.4,0.8402140430816124,
daniel_munoz_mejia,DEF,Crystal Palace,5.2,4.048569637096353,87737.0
danny_welbeck,FWD,Brighton,3.4,2.649545427164021,
dario_luis_essugo,MID,Chelsea,0.0,0.3978562756846753,
darko_churlinov,MID,Burnley,0.0,0.3978562756846753,
darko_gyabi,MID,Leeds,0.0,0.3978562756846753,
darwin_nunez_ribeiro,FWD,Liverpool,0.0,0.4002670423569932,
david_brooks,MID,Bournemouth,2.2,2.6493953321347288,
david_moller_wolfe,DEF,Wolves,1.0,0.4879011823455362,
david_mota_veiga_teixeira_do_carmo,DEF,Nott'm Forest,0.0,0.22677298540622354,
david_ozoh,MID,Crystal Palace,0.0,0.3978562756846753,
david_raya_martin,GK,Arsenal,3.6,3.9335663018376836,85646.0
dean_henderson,GK,Crystal Palace,3.8,3.2704334572239846,87737.0
declan_rice,MID,Arsenal,5.6,3.2505105724674994,94654.0
dejan_kulusevski,MID,Spurs,0.0,0.3978562756846753,
dennis_cirkin,DEF,Sunderland,0.0,0.24858796300286717,
dermot_mee,GK,Man Utd,0.0,0.23067104899319113,
destiny_udogie,DEF,Spurs,1.4,2.1641398983701086,
diego_coppola,DEF,Brighton,0.4,0.33382702134429726,
diego_gomez_amarilla,MID,Brighton,1.2,1.717295541825445,
diego_leon_blanco,DEF,Man Utd,0.0,0.2602436346026985,
dilane_bakwa,MID,Nott'm Forest,1.25,2.281092335817342,
diogo_dalot_teixeira,DEF,Man Utd,2.8,1.895255322492516,
divine_mukasa,MID,Man City,0.0,0.3978562756846753,
djed_spence,DEF,Spurs,1.8,1.4516318156268309,
dominic_calvert_lewin,FWD,Leeds,3.6,3.60492925821632,
dominic_sadi,MID,Bournemouth,0.0,0.3978562756846753,
dominic_solanke_mitchell,FWD,Spurs,0.0,0.39069895705755975,87737.0
dominik_szoboszlai,MID,Liverpool,4.6,3.581417118234741,88376.0
donyell_malen,MID,Aston Villa,4.0,2.3306588944823563,
dorde_petrovic,GK,Bournemouth,3.8,3.3485731361932722,88376.0
douglas_luiz_soares_de_paulo,MID,Nott'm Forest,1.0,0.945595153957477,
dwight_mcneil,MID,Everton,0.0,0.3978562756846753,
eberechi_eze,MID,Arsenal,3.8,3.320423604675071,87737.0
eddie_nketiah,FWD,Crystal Palace,1.2,1.083841109829919,
ederson_santana_de_moraes,GK,Man City,0.0,0.24084811318670157,
edson_alvarez_velazquez,MID,West Ham,0.0,0.3978562756846753,
eiran_cashin,DEF,Brighton,0.0,0.2605429077233023,
el_hadji_malick_diouf,DEF,West Ham,4.4,2.6945184832348623,
eli_junior_kroupi,FWD,Bournemouth,1.4,0.7391899758313767,
eliezer_mayenda_dossou,FWD,Sunderland,0.8,1.2305916934524046,
elijah_campbell,DEF,Everton,0.0,0.25576092983512827,
ellery_balcombe,GK,Brentford,0.0,0.227278694262021,
elliot_anderson,MID,Nott'm Forest,2.8,3.122155677699168,
elyh_harrison,GK,Man Utd,0.0,0.23067104899319113,
emerson_palmieri_dos_santos,DEF,West Ham,0.0,0.2426120886530213,
emil_krafth,DEF,Newcastle,0.0,0.24858796300286717,
emile_smith_rowe,MID,Fulham,1.0,0.9326034098536087,
emiliano_buendia_stati,MID,Aston Villa,3.2,2.601737689122877,
emiliano_martinez_romero,GK,Aston Villa,2.6,2.8381755830707487,87737.0
emmanuel_agbadou,DEF,Wolves,2.0,2.02896805465057,
endo_wataru,MID,Liverpool,0.2,0.4363856869075127,
enes_unal,FWD,Bournemouth,0.0,0.41940321295586014,
enock_agyei,MID,Burnley,0.0,0.3978562756846753,
enso_gonzalez_medina,MID,Wolves,0.0,0.3978562756846753,
enzo_barrenechea,MID,Aston Villa,0.0,0.3978562756846753,
enzo_fernandez,MID,Chelsea,5.6,4.175554876106665,
enzo_le_fee,MID,Sunderland,3.6,2.3053248426071034,
eric_da_silva_moreira,MID,Nott'm Forest,0.0,0.3978562756846753,
erling_haaland,FWD,Man City,11.0,4.88070384072228,88376.0
estevao_almeida_de_oliveira_goncalves,MID,Chelsea,3.0,2.485508227619108,
ethan_ampadu,MID,Leeds,2.4,2.0445056620473436,
ethan_nwaneri,MID,Arsenal,1.0,1.0994399252987042,
ethan_pinnock,DEF,Brentford,0.0,0.8523280626413458,
ethan_wheatley,FWD,Man Utd,0.0,0.4002670423569932,
etienne_green,GK,Burnley,0.0,0.22049398479968071,
evan_ferguson,FWD,Brighton,0.0,0.39069895705755975,
evann_guessand,MID,Aston Villa,1.6,1.9847577230090305,
ezri_konsa_ngoyo,DEF,Aston Villa,2.6,2.6806685157021937,
fabian_schar,DEF,Newcastle,2.8,1.3887699998261245,85646.0
fabio_ferreira_vieira,MID,Arsenal,0.0,0.3978562756846753,
fabio_freitas_gouveia_carvalho,MID,Brentford,2.0,0.9908675709126384,
fabio_soares_silva,FWD,Wolves,0.0,0.33329044526095897,
facundo_buonanotte,MID,Chelsea,0.2,0.76552546132515,
federico_chiesa,MID,Liverpool,1.4,0.998776869847347,
felipe_rodrigues_da_silva,DEF,Nott'm Forest,1.4,1.6400179529529688,
fer_lopez_gonzalez,MID,Wolves,1.0,1.074797463539474,
ferdi_kadioglu,DEF,Brighton,1.8,2.1077415344072783,
filip_jorgensen,GK,Chelsea,0.2,0.8000075155167934,
filip_marschall,GK,Aston Villa,0.0,0.22388633953085085,
florentino_ibrain_morris_luis,MID,Burnley,3.0,2.09555022798517,
florian_wirtz,MID,Liverpool,1.8,2.9689253452151245,85076.0
francisco_evanilson_de_lima_barbosa,FWD,Bournemouth,3.8,4.08779366226214,85076.0
franco_umeh_chibueze,MID,Crystal Palace,0.0,0.3978562756846753,
frank_onyeka,MID,Brentford,1.2,0.7584028550431176,
freddie_potts,MID,West Ham,0.4,0.6409709768095755,
freddie_woodman,GK,Liverpool,0.0,0.22388633953085085,
gabriel_dos_santos_magalhaes,DEF,Arsenal,7.0,3.113539573358537,87737.0
gabriel_fernando_de_jesus,FWD,Arsenal,0.0,0.40983512765642666,
gabriel_gudmundsson,DEF,Leeds,3.0,2.4619771826268435,
gabriel_martinelli_silva,MID,Arsenal,2.6,1.4871160424426055,
gabriel_slonina,GK,Chelsea,0.0,0.23067104899319113,
garang_kuol,MID,Newcastle,0.0,0.3978562756846753,
george_earthy,MID,West Ham,0.0,0.3978562756846753,
georginio_rutter,MID,Brighton,2.0,2.458894523994151,
gianluigi_donnarumma,GK,Man City,3.75,3.643398274500709,85076.0
giorgi_mamardashvili,GK,Liverpool,0.4,0.7393565145263513,
giovanni_leoni,DEF,Liverpool,0.0,0.2554616567145245,
goncalo_manuel_ganchinho_guedes,MID,Wolves,0.0,0.3978562756846753,
granit_xhaka,MID,Sunderland,5.0,2.931820415785144,
guglielmo_vicario,GK,Spurs,3.4,3.093902911180203,93330.0
guido_rodriguez,MID,West Ham,0.0,0.3978562756846753,
gustavo_nunes_fernandes_gomes,MID,Brentford,0.0,0.3978562756846753,
habib_diarra,MID,Sunderland,1.4,1.4403912400852532,
hakon_rafn_valdimarsson,GK,Brentford,0.0,0.227278694262021,
hamed_traore,MID,Bournemouth,0.0,0.3978562756846753,
hannes_delcroix,DEF,Burnley,0.0,0.23633694118257165,
hannibal_mejbri,MID,Burnley,1.0,1.0011237177856136,
harrison_armstrong,MID,Everton,0.0,0.3978562756846753,
harrison_ashby,DEF,Newcastle,0.0,0.24858796300286717,
harrison_jones,MID,Sunderland,0.0,0.3978562756846753,
harrison_reed,MID,Fulham,0.0,0.3978562756846753,
harry_amass,DEF,Man Utd,0.0,0.2602436346026985,
harry_gray,FWD,Leeds,0.0,0.36199470115925936,
harry_maguire,DEF,Man Utd,2.8,1.3199561676684082,
harry_tyrer,GK,Everton,0.0,0.227278694262021,
harry_wilson,MID,Fulham,3.0,2.8005284410539257,
harvey_barnes,MID,Newcastle,1.4,1.5266541325091905,
harvey_elliott,MID,Aston Villa,0.6,1.047242918132006,
hjalmar_ekdal,DEF,Burnley,1.8,1.9912888772755906,
hugo_bueno_lopez,DEF,Wolves,3.2,2.8634893897213445,
hugo_ekitike,FWD,Liverpool,2.6,2.2047247641526253,85076.0
hwang_hee_chan,MID,Wolves,2.2,2.0015538760364544,
ian_maatsen,DEF,Aston Villa,0.4,0.9768340727007927,
ian_poveda_ocampo,MID,Sunderland,0.0,0.3978562756846753,
ibrahim_sangare,MID,Nott'm Forest,1.4,1.1788717919904612,
ibrahima_konate,DEF,Liverpool,4.6,2.562597994423979,85646.0
idrissa_gana_gueye,MID,Everton,3.8,2.9618083201110412,
igor_jesus_maciel_da_cruz,FWD,Nott'm Forest,0.8,1.1031083704812978,
igor_julio_dos_santos_de_paulo,DEF,West Ham,0.2,0.27381203941844073,
igor_thiago_nascimento_rodrigues,FWD,Brentford,4.8,3.7168652599600147,93330.0
ilia_gruev,MID,Leeds,0.8,0.8409513004908695,
iliman_ndiaye,MID,Everton,5.4,3.7996643037067237,88376.0
ilkay_gundogan,MID,Man City,0.0,0.3978562756846753,
illan_meslier,GK,Leeds,0.0,0.22388633953085085,
illia_zabarnyi,DEF,Bournemouth,0.0,0.26442706624966494,
isaac_hayden,MID,Newcastle,0.0,0.3978562756846753,
isaac_heath,MID,Everton,0.0,0.3978562756846753,
isaac_schmidt,DEF,Leeds,0.0,0.24709479342059157,
ismaila_sarr,MID,Crystal Palace,5.0,3.0127619072888363,85646.0
ismeal_kabia,MID,Arsenal,0.0,0.3978562756846753,
issa_diop,DEF,Fulham,0.4,0.5653142079101823,
iwan_morgan,FWD,Brentford,0.0,0.3524266158598259,
jack_fletcher,MID,Man Utd,0.0,0.3978562756846753,
jack_grealish,MID,Everton,5.0,5.186578782666786,85646.0
jack_harrison,MID,Leeds,1.0,1.1174209442443999,
jack_hinshelwood,MID,Brighton,0.6,0.6802458009647347,
jack_moorhouse,MID,Man Utd,0.0,0.3978562756846753,
jackson_tchatchoua,DEF,Wolves,1.6,1.569627175617383,
jacob_bruun_larsen,MID,Burnley,1.4,1.2210847344736746,
jacob_murphy,MID,Newcastle,3.2,3.2006830520532965,85646.0
jacob_ramsey,MID,Newcastle,0.2,0.776409013695427,
jacob_slater,DEF,Brighton,0.0,0.2605429077233023,
jadon_sancho,MID,Aston Villa,0.2,0.5364513209507052,
jaidon_anthony,MID,Burnley,5.2,3.674832994023445,
jair_paula_da_cunha_filho,DEF,Nott'm Forest,0.6,0.5770332154155497,
jaka_bijol,DEF,Leeds,0.0,0.24709479342059157,
jake_o'brien,DEF,Everton,3.0,2.787320116103396,
jakub_kiwior,DEF,Arsenal,0.0,0.2623353504261817,
jamaal_lascelles,DEF,Newcastle,0.2,0.3644277666753708,
jamaldeen_jimoh_aloba,MID,Aston Villa,0.0,0.3978562756846753,
james_garner,MID,Everton,4.2,3.4306574657696363,
james_hill,DEF,Bournemouth,2.8,2.068046293831335,
james_justin,DEF,Leeds,0.6,0.42413357055813194,
james_maddison,MID,Spurs,0.0,0.3978562756846753,
james_mcatee,MID,Nott'm Forest,0.6,0.9901289760825872,
